mv_TID4621_START7_SIZE4_FT_0_CLASS164,mv_TID4606_START1_SIZE1_FT_0_CLASS164,mv_TID4600_START4_SIZE5_FT_0_CLASS164,mv_TID4606_START6_SIZE1_FT_0_1_2_CLASS164,mv_TID4604_START0_SIZE3_FT_0_CLASS164,mv_TID4598_START2_SIZE2_FT_0_CLASS164,mv_TID4600_START0_SIZE1_FT_0_CLASS164,mv_TID4628_START5_SIZE2_FT_0_CLASS164,mv_TID4606_START10_SIZE1_FT_0_CLASS164,mv_TID4628_START3_SIZE1_FT_0_CLASS164,mv_TID4611_START4_SIZE3_FT_0_CLASS164,mv_TID4604_START8_SIZE2_FT_0_1_2_CLASS164,mv_TID4598_START15_SIZE3_FT_0_CLASS164,mv_TID4600_START1_SIZE2_FT_0_CLASS164,mv_TID4606_START8_SIZE1_FT_0_1_2_5_CLASS164,mv_TID4598_START13_SIZE1_FT_0_1_CLASS164,mv_TID4598_START14_SIZE1_FT_0_CLASS164,mv_TID4606_START7_SIZE1_FT_0_1_2_CLASS164,mv_TID4598_START18_SIZE2_FT_0_1_2_CLASS164,mv_TID4604_START11_SIZE2_FT_0_CLASS164,mv_TID4611_START10_SIZE2_FT_0_CLASS164,mv_TID4621_START5_SIZE2_FT_0_CLASS164,mv_TID4611_START7_SIZE3_FT_0_CLASS164,mv_TID4621_START11_SIZE1_FT_0_CLASS164,mv_TID4628_START8_SIZE2_FT_0_1_2_CLASS164,mv_TID4606_START5_SIZE1_FT_0_CLASS164,mv_TID4598_START0_SIZE2_FT_0_CLASS164,mv_TID4604_START10_SIZE1_FT_0_1_2_CLASS164,mv_TID4628_START0_SIZE1_FT_0_CLASS164,mv_TID4604_START3_SIZE4_FT_0_CLASS164,mv_TID4628_START4_SIZE1_FT_0_1_CLASS164,mv_TID4598_START8_SIZE1_FT_0_1_CLASS164,mv_TID4621_START3_SIZE2_FT_0_CLASS164,mv_TID4600_START13_SIZE3_FT_0_CLASS164,mv_TID4606_START0_SIZE1_FT_0_CLASS164,mv_TID4600_START9_SIZE4_FT_0_CLASS164,mv_TID4604_START7_SIZE1_FT_0_1_CLASS164,mv_TID4598_START4_SIZE4_FT_0_CLASS164,mv_TID4606_START2_SIZE1_FT_6_CLASS164,mv_TID4606_START9_SIZE1_FT_0_1_2_CLASS164,mv_TID4611_START0_SIZE4_FT_0_CLASS164,mv_TID4600_START16_SIZE5_FT_0_CLASS164,mv_TID4606_START3_SIZE2_FT_0_CLASS164,mv_TID4621_START12_SIZE1_FT_0_1_2_CLASS164,mv_TID4598_START9_SIZE4_FT_0_CLASS164,mv_TID4621_START13_SIZE1_FT_0_1_2_5_CLASS164,mv_TID4621_START0_SIZE2_FT_0_1_CLASS164,tid,label
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2277,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2278,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2279,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2280,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2281,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2283,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2284,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2285,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2286,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2289,"84"
